sector	activities
Aging	12
Agriculture	6
Animal Protection	4
Arts and Culture	7
Capacity-Building	32
Disabilities	23
Disaster Relief	35
Economic Development	11
Education	141
Energy	2
Environment	33
Ethnic Affairs	3
Gender Issues	8
Health	39
Human Rights	1
Infrastructure	31
Labor	7
Law and Governance	6
LGBTQ Issues	0
Media	1
Migrants	1
Poverty Alleviation	70
Religion	2
Rural Issues	16
Sport	1
Technology	7
Tourism	2
Trade	7
Urban Issues	5
Youth	82
Field Unknown	2
