name	total
Beijing	79
Chongqing	3
Fujian	6
Gansu	4
Guangdong	14
Guangxi	5
Guizhou	1
Heilongjiang	2
Hubei	4
Hunan	3
Inner Mongolia	1
Jiangsu	4
Jiangxi	1
Liaoning	8
Qinghai	1
Shaanxi	4
Shandong	5
Shanghai	57
Sichuan	7
Tianjin	8
Tibet	1
Yunnan	19
Zhejiang	1
