Province	offices
Anhui	33
Beijing	48
Chongqing	34
Fujian	43
Gansu	23
Guangdong	48
Guangxi	29
Guizhou	29
Hainan	23
Hebei	32
Heilongjiang	33
Henan	23
Hubei	39
Hunan	35
Inner Mongolia	24
Jiangsu	49
Jiangxi	31
Jilin	31
Liaoning	35
Ningxia	19
Qinghai	29
Shaanxi	26
Shandong	37
Shanghai	45
Shanxi	19
Sichuan	43
Tianjin	39
Tibet	14
Xinjiang	19
Xinjiang Bingtuan	3
Yunnan	56
Zhejiang	42
