sector	offices
Aging	3
Agriculture	3
Animal Protection	5
Arts and Culture	16
Capacity-Building	18
Disabilities	11
Disaster Relief	31
Econ. Development	17
Education	51
Energy	1
Environment	28
Ethnic Affairs	4
Gender Issues	10
Health	42
Human Rights	0
Infrastructure	9
International Relations	40
Labor	6
Law and Governance	4
LGBTQ Issues	0
Media	0
Migrants	6
Poverty Alleviation	34
Religion	1
Rural Issues	9
Sport	4
Technology	5
Tourism	5
Trade	117
Urban Issues	4
Youth	44
