length	number
0-1 Month	97
1-2 Months	16
2-3 Months	13
3-4 Months	16
4-5 Months	7
5-6 Months	19
6-7 Months	14
7-8 Months	15
8-9 Months	20
9-10 Months	15
10-11 Months	12
11-12 Months	124
